,0
0,-74.92366472109889
1,-8.004270767353647
2,-2.1053409197832265
3,13.546376037557636
4,12.37710775010061
5,-9.902353351716991
6,-4.321660133719654
7,9.74300991561557
8,-17.18651877945847
9,5.853650248758183
10,8.328234833208999
11,2.185189738473219
12,-5.6498868223628875
13,0.32494578758182097
14,30.990520917772628
15,-19.399658831569315
16,-11.590862086203305
17,10.274351342387046
18,-18.06038352827434
19,10.008345864358313
20,15.82240052148942
21,-13.258157460155658
22,10.004578455015908
23,0.6239327810382325
24,12.081037315273544
25,-23.503833902721357
26,7.327220117786523
27,-13.976194236442758
28,22.790830115184626
29,-19.454260728801113
30,-9.66928278097307
31,10.106746184647193
32,-25.052109232936225
33,33.05638000028989
34,4.028851884386964
35,-15.308401298921408
36,-15.29076715876614
37,4.255961441879611
38,1.6529301951210509
39,16.957297768265008
40,11.341425038749168
41,27.584761493362862
42,-27.27622825456325
43,-1.4919789957567586
44,1.2422519998557109
45,7.6267554655445275
46,5.369212008956182
47,2.9468062183095043
48,-54.654370636807
49,16.705408466316626
50,48.515968697052614
51,-28.41210062018402
52,-22.70141672585473
53,31.66117708390736
54,0.47086607853355295
55,-33.45656582878293
56,39.23676615513449
57,-4.398506879925071
58,-17.563048691100526
59,29.72515234046463
60,-69.31471805599453
61,0.0
62,78.84573603642703
63,-14.660347419187538
64,7.598590697792204
65,-13.005312824819779
66,10.536051565782614
67,-66.03573576307988
68,55.499684197297256
69,-5.715841383994875
70,30.228087187293372
71,-9.097177820572664
72,-33.32254804636736
73,0.9998470592481048
74,9.411329157047883
75,-39.50405907722804
76,21.15207114862169
77,-14.698219034864582
78,0.0
79,26.66286631839311
80,-7.738666354540267
81,-27.62533766281581
82,8.70113769896299
83,6.67681765014866
84,42.60389417139592
85,-49.28071182154458
86,-2.8170877060719866
87,5.55698513377756
88,-2.7398974277055648
89,8.004270767353635
90,6.276569558732508
91,2.552691155835316
92,-7.302513501489002
93,-27.76317365982795
94,26.23642644674911
95,26.82639865946792
96,-23.910740230322386
97,-3.5091319811269943
98,22.687806583743978
99,-30.09860379911616
100,28.76820724517809
101,-16.1388347127489
102,-1.9683990266033724
103,-8.599044785552262
104,5.94234204708008
105,-21.357410029805905
106,21.357410029805912
107,15.009387910871125
108,-16.951196496581293
